Abbott Laboratories
Greatbatch Inc
GSI Group Inc
Guidant Corp
Gyrus Group PLC
H Lundbeck A/S
Haemonetics Corp
Hafslund Nycomed AS
Hana Biologics Inc
Healthtronics Inc
Heartware International Inc
Helen of Troy LP
Hercules Development Group Inc
Heska Corp
Hewlett-Packard Co
Hitachi Chemical Co Ltd
Hoffmann-La Roche Inc
Hologic Inc
Honeywell Inc
Hoya Corp USA
Hycor Biomedical Inc
Hyseq Pharmaceuticals Inc
I-Flow Corp
ICI PLC
IDEXX Laboratories Inc
Illumina Inc
Imation Corp
Imatron Inc
IMC Global Inc
Immucor Inc
Imo Delaval Inc
Inhale Therapeutic Systems Inc
Innophos Holdings Inc
Innophos Inc
Innovasive Devices Inc
Insmed Inc
Instrumentarium Oyj
Integra LifeSciences Hldg Corp
Intelligent Surgical Laser Inc
Intermagnetics General Corp
Intuitive Surgical Inc
Invitrogen Corp
Ishihara Sangyo Kaisha Ltd
Isolyser Co Inc
IVAX Corp
Jackson Prod Inc
JDS Uniphase Corp
Johnson & Johnson
Jomed NV
Kendall Co
Kensey Nash Corp
KeraVision Inc
Kimberly-Clark Corp
Kinetic Concepts Inc
King Pharmaceuticals Inc
Kyorin Pharmaceutical Co Ltd
Kyphon Inc
L-3 Communications Hldg Inc
Landec Corp
Laserscope Inc
LecTec Corp
Leeco Diagnostics Inc
Leonix Corp
LeukoSite Inc
Lexicon Genetics Inc
Ligand Pharmaceuticals Inc
Lion Bioscience AG
Logicon Inc
Lonza Group Ltd
Loral Corp
Lubrizol Corp
Lupin Ltd
MA Hanna Co
Mallinckrodt Group Inc
Mallinckrodt Inc
Mallinckrodt Veterinary Inc
Marion Merrell Dow Inc
Martek Biosciences Corp
Marubeni America Corp
Maxim Pharmaceuticals Inc
MDS Inc
MDT Corp
Medarex Inc
Medeva PLC
Medex Inc
MediciNova Inc
Medicis Pharmaceutical Corp
MediCult A/S
MedImmune Inc
Medlogic Global Corp
Medtronic Inc
MegaBios Corp
Mentor Corp
Merck & Co Inc
Merck & Co-European Prescript
Merck KGaA
Merz Pharma GmbH & Co KGaA
MGI PHARMA Inc
Micrus Endovascular Corp
Millennium Pharmaceuticals Inc
Millipore Corp
Mitokor Inc
Molecular Devices Corp
Monsanto Co
Moog Inc
Mycogen Corp
Nanogen Inc
Natrol Inc
Natus Medical Inc
Nektar Therapeutics
Nellcor Inc
Nellcor Puritan-Bennett
Neogen Corp
Neopath Inc
Newport Corp
Nippon Mining Co Ltd
Nipro Corp
Nordson Corp
Novartis AG
NuVasive Inc
Oncogene Science Inc
Orchid BioSciences Inc
ORS Corp
OrthoLogic Corp
Ossur HF
Owen Healthcare Inc
Paradigm Genetics Inc
Patheon Inc
Pentax Corp
Perkin-Elmer Corp
PerkinElmer Inc
Pfizer Inc
Pharmacia & Upjohn Inc
Pharmacia AB(Pharmacia SpA)
Pharmatec Inc
Pharmos Corp
Philips Electronics NV
Photogen Technologies Inc
Planar Systems Inc
Polatechno Co Ltd
Procter & Gamble Co
Progenitor Inc
Protein Design Labs Inc
Protocol Systems Inc
Purdue Pharma LP
Qiagen NV
Quest Diagnostics Inc
Quidel Corp
R&D Systems Inc
Radiance Medical Systems Inc
Radiometer A/S
Regeneron Pharmaceuticals Inc
Rehabilicare Inc
Replidyne Inc
Repligen Corp
Respironics Inc
Revlon Group Inc
Rexall Sundown Inc
Rhone-Poulenc Rorer Inc
Rhone-Poulenc Rorer SA
Rhone-Poulenc SA
Ringer Corp
Rockwell International Corp
Rorer Group Inc
SAIC Inc
Sandoz AG
Sanofi-Aventis SA
Schering AG
Schering Berlin Inc
Schering-Plough Corp
SciMed Life Systems Inc
Sensormatic Electronics Corp
Shionogi & Co Ltd
Sigma Tau SpA
Sigma-Aldrich Corp
SkyePharma PLC
Smith & Nephew Inc
Smith & Nephew Inc Wound
Smith & Nephew PLC
SmithKline Beecham PLC
Smiths Group PLC
Smiths Industries PLC
Solvay Pharmaceuticals SA
SonoSite Inc
Sorin Biomedica SpA
SPACEHAB Inc
SpaceLabs Medical Inc
Spectranetics Corp
SpectRx Inc
Stauffer Chemical Co
Steris Corp
Stryker Corp
Sunstar Inc
Superfos A/S
SuperGen Inc
Sybron Corp
Taconic Farms Inc
Takara Bio Inc
Takeda Pharmaceutical Co Ltd
Targeted Genetics Corp
Tecnol Medical Products Inc
Teledyne Tekmar Co
Teleflex Inc
Telxon Corp
Terumo Corp
Tetralogic
Texas Biotechnology Corp
Thermo Cardiosystems Inc
Thermo Electron Corp
Thermo Trilogy Corp
Titan Corp
Toymax International Inc
Trega Biosciences Inc
Trex Medical Corp(ThermoTrex)
Trinity Biotech PLC
UCB SA
UroHealth Systems Inc
US Surgical Corp
Valley Forge Scientific Corp
Varian Inc
Varian Medical Systems Inc
Ventana Medical Systems Inc
Vertex Pharmaceuticals Inc
VIASYS Healthcare Inc
Vickers PLC
Virbac SA
ViroLogic Inc
Vital Signs Inc
Warner Chilcott Co Inc
Warner-Lambert Co
Watson Pharmaceuticals Inc
Welch Allyn Inc
Westinghouse Air Brake Tech
Wilson Greatbatch Tech Inc
Woodstream Corp
World Heart Corp
WR Grace & Co
WW Grainger Inc
Yamanouchi Pharmaceutical Co
Zimmer Holdings Inc
ZLB Behring
